,value,value,value
,min,max,mean
variable,,,
generatedCoins,1000.0,2437.5,1921.5239717170136
marketcap(EUR),61103306833.92,283742913822.72,127599270543.22438
paymentCount,238637.0,808680.0,401912.66301369865
price(EUR),3679.9956,16943.946,7538.254438356164
